company,jk,posting_date,job_description,job_type,job_title,job_location,salary,state,zip_code,scrape_time,url
,jk=dac8e70704e444e0,Just posted,"Search for flexible gig work that allow you to choose your own schedule! Apply for independent contractor jobs that are hiring immediately. Many gigs such as driver, shopper, and delivery with companies like Doordash, Postmates, Uber, Lyft, Instacart, Grubhub and Gopuff are available. Set your own schedule, make extra income, and get paid daily.

Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to set your own schedule! Flexible jobs today include varied roles from dog walker, driver, courier, food delivery and in-store shopper.",Full-time,Find jobs with Flexible Hours!,,,,,0:00:02.938082,https://www.indeed.com/viewjob?jk=dac8e70704e444e0
BJ's Wholesale Club,jk=33628137459f8712,2 days ago,"Join a team of more than 25,000 team members, comprised of our home office and over 215 clubs and 3 distribution centers in 17 states. We’re committed to delivering value and convenience to our Members, helping them save every day on everything they need for their family and home. BJ’s Wholesale Club offers a collaborative, team-oriented environment where all team members can learn, grow and excel.

We are looking for a master multi-tasker with excellent communication skills and an upbeat attitude. Candidates should be able to assist management and all visitors to the company by handling office tasks, providing polite and professional assistance via phone, mail, and e-mail, making reservations or travel arrangements, and generally being a helpful and positive presence in the workplace.

Salary range: $20.00 - $26.00 per hour.

Administrative Assistant Responsibilities:
Handling office tasks, such as filing, generating reports and presentations, setting up for meetings, and reordering supplies.
Making travel arrangements, such as booking flights, cars, and making hotel and restaurant reservations.
Screening phone calls and routing callers to the appropriate party.
Using computers to generate reports, transcribe minutes from meetings, create presentations, and conduct research.
Greet and assist visitors.
Maintain polite and professional communication via phone, e-mail, and mail.
Anticipate the needs of others in order to ensure their seamless and positive experience.


Requirements

Associate’s Degree in related field.
Prior administrative experience.
Excellent computer skills, especially typing.
Attention to detail.
Desire to be proactive and create a positive experience for others.",Job Type,Administrative Assistant,,$20 - $26 an hour,,,0:00:03.605556,https://www.indeed.com/viewjob?jk=33628137459f8712
Wegmans Food Markets,jk=1186a0cee5994bc6,Today,"At Wegmans, our commitment to customers is simple: Every Day You Get our Best. As a Cashier, you'll provide incredible customer service by engaging customers in friendly conversation, carefully bagging items, and accurately completing monetary transactions. You will efficiently get customers through the check out process while ensuring they end their shopping trips with a positive experience. Our cashiers leave a lasting impression and transform first-time shoppers into loyal Wegmans customers!
What will I do?
Engage customers in friendly conversation while making eye contact and smiling
Accurately and efficiently scan customers' grocery items and complete monetary transactions
Properly bag items to ensure products arrive at their destination in the condition they left the store
Proactively offer additional assistance or services and thank the customer for shopping at Wegmans
At Wegmans, we believe that if we take care of our people, they’ll take care of our customers. That’s why, as part of the Wegmans family, you’ll have a package of benefits that covers your health, well-being, family and future.
Flexibility in scheduling—work-life balance
Employee discounts
Premium pay on Sundays and holidays
Comprehensive benefits*
Quality affordable healthcare coverage
Vision coverage
Dental coverage (Available to Full-time only)
Pre-tax spending accounts
Life insurance
Paid time off
Employee assistance program
Employee wellness programs
401(k) retirement savings plan
Wegmans retirement profit sharing plan
Scholarship Program
Certain eligibility requirements must be satisfied
For 24 years in a row, our employees have put us on the FORTUNE magazine’s list of the 100 Best Companies to Work For®. Discover what it means to work for a family owned, mission-driven, values-based company that believes in caring, respect, empowerment, high standards and making a difference in the community. Because with a family-like atmosphere of shared support, leaders who have your best interest at heart and growth as part of everything we do, Wegmans is the place for you to do what you love—and love what you do.",Part-time,Cashier,",NY,11205",,",NY,11205",11205,0:00:03.646556,https://www.indeed.com/viewjob?jk=1186a0cee5994bc6
,jk=a018e9c474ee4f9d,"If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.","ManezCo is an exciting and innovative EdTech startup based in Perth, WA. We are the creators of Valearnis ( www.valearnis.com ) and we're looking for a Social Media Assistant to help grow our social media presence, drive engagement, etc. We currently are a team of 12 passionate creators, artists, developers, scientists, and more. We require a friendly, supportive, innovative, and engaging social media assistant to join our ever-growing team. ManezCo is pre-revenue, work is fully paid in shares.Role description:Creating and posting stories, posts, reels, videos, and moreManaging our Facebook, Twitter, Instagram, Discord, and TiktokCreating and appearing in educational Tikoks/Reels if neededPosting in private groups, conducting research, following directions from our head of marketing, etcUsing CanvaUsing our artists' assets to create posts that match our app's aestheticCreating content that varies between the different social media channels to suit our different audiencesAdvertising our education NFTs on Twitter and Discord.No degree or work experience requiredWork is conducted remotely with flexible hours, work from home15-20 hours per weekAttendance of one of the weekly online briefings per week. Your choice of Fridays or SundaysWork within a supportive, intuitive, diverse teamExciting startup environment with a company that has a very ambitious visionManezCo is pre-revenue, work is fully paid in sharesCompany details:App: www.valearnis.comCompany: www.manezco.comFacebook: https://www.facebook.com/ManezcoPart-time hours: 15-20 per weekJob Types: Full-time, Part-timeSalary: From $1.00 per yearApplication Question(s):Are you able to create and appear in Reels/Tiktok videos?Language:English (Required)Work Remotely:Yes",Full-time,Social Media Assistant,,,,,0:00:03.683557,https://www.indeed.com/viewjob?jk=a018e9c474ee4f9d
Mount Sinai,jk=aa5112e137bb2d98,3 days ago,"Strength Through Diversity
Ground breaking science. Advancing medicine. Healing made personal.
Roles &amp; Responsibilities:
 [4-5 OF THE MOST IMPORTANT OR UNIQUE JOB DUTIES/RESPONSIBILITIES THAT WOULD MAKE THE CANDIDATE WANT TO APPLY]


Requirements:
[BASED ON JOB DESCRIPTION, THE NECESSARY JOB REQUIREMENTS/PREFERENCES—DEGREES, LICENSES, CERTIFICATIONS, ETC.]
Strength Through Diversity
The Mount Sinai Health System believes that diversity, equity, and inclusion are key drivers for excellence. We share a common devotion to delivering exceptional patient care. When you join us, you become a part of Mount Sinai’s unrivaled record of achievement, education, and advancement as we revolutionize medicine together. We invite you to participate actively as a part of the Mount Sinai Health System team by:
Using a lens of equity in all aspects of patient care delivery, education, and research to promote policies and practices to allow opportunities for all to thrive and reach their potential
Serving as a role model confronting racist, sexist, or other inappropriate actions by speaking up, challenging exclusionary organizational practices, and standing side-by-side in support of colleagues who experience discrimination
Inspiring and fostering an environment of anti-racist behaviors among and between departments and co-workers
We work hard to acquire and retain the best people and to create an inclusive, welcoming and nurturing work environment where all feel they are valued, belong, and are able to professionally advance. We share the belief that all employees, regardless of job title or expertise, contribute to the patient experience and quality of patient care.
Explore more about this opportunity and how you can help us write a new chapter in our history!

Who We Are
Over 42,000 employees strong, the mission of the Mount Sinai Health System is to provide compassionate patient care with seamless coordination and to advance medicine through unrivaled education, research, and outreach in the many diverse communities we serve.
Formed in September 2013, The Mount Sinai Health System combines the excellence of the Icahn School of Medicine at Mount Sinai with seven premier hospitals, including Mount Sinai Beth Israel, Mount Sinai Brooklyn, The Mount Sinai Hospital, Mount Sinai Queens, Mount Sinai West (formerly Mount Sinai Roosevelt), Mount Sinai St. Luke’s, and New York Eye and Ear Infirmary of Mount Sinai.
The Mount Sinai Health System (MSHS) provides equal employment opportunity to all its employees and applicants for employment without unlawful discrimination on the basis of their actual or perceived race, creed, color, religion, national origin, sex, gender, gender expression, gender identity, age, disability, marital or parental status, sexual orientation, veteran, immigration, citizenship, or other protected status.
 EOE including Veterans and Disabled",Full-time,Office Coordinator; Full time Days; 104 Delancy St,,,,,0:00:03.713552,https://www.indeed.com/viewjob?jk=aa5112e137bb2d98
Northwell Health,jk=bbfaee5c3234326a,2 days ago,"Job Description
Job Description
Performs diversified clerical duties related to the operational needs of the office/department.
Job Responsibility
Performs diversified clerical duties which may include, but are not limited to: Typing various correspondence, reports, articles; Greeting and directing visitors; Answering telephones, taking messages, directing intercom pages; Scheduling appointments/meetings; Maintaining department/office files, record keeping, patient record filing; Taking meeting minutes; Collecting payments; Keeping inventory and ordering supplies for the department/office;
Performs related duties as required. All responsibilities noted here are considered essential functions of the job under the Americans with Disabilities Act. Duties not mentioned here, but considered related are not essential functions.
Job Qualification
High School Diploma or equivalent required.
1-3 years of relevant experience, required.",Full-time,Administrative Support Assistant,,,,,0:00:03.757549,https://www.indeed.com/viewjob?jk=bbfaee5c3234326a
,jk=e29efc9a8b6fbbe6,2 days ago,"La Cabra NYC is looking for a driven candidate to join our baking team in the East Village, Manhattan. Our New York bakery is part of a wonderful new venture in the city, and will be the first of a few opening in NYC in the near future. With a roster of quality-focused wholesale clients around the world, a reputation for our quality light-roast coffees, two retail locations abroad, more international retail development underway, La Cabra aims to always serve and deliver the best quality possible, while also growing enough to offer lots of opportunity to our employees.
Key areas of focus in this position will include working closely with our head baker to develop a unique and evolving menu, following complex and specific recipes, baking for our cafes, baking for wholesale clients, and working in an open guest-facing bakery. The successful candidate will have a positive can-do attitude, strong interpersonal skills, highly structured working habits, and the desire to work and grow with a dedicated team of quality-driven bakers.
Responsibilities and tasks:

 Cleaning any dishes left from the end of day
Maintaining the dish machine and three compartment sink, changing out the water when necessary
Sweeping and mopping the bakery floor, moving equipment and tables where necessary
Taking out the trash and recycling
Informing the Head Baker or General Manager of any cleaning supplies or tools are needed
Helping the bakers if they need any assistance with production
Compensation:

$15-17 an hour
Schedule needs:

Full time and part time
Available to work starting from 1pm
Weekend availability preferred
Physical Demands:

Able to be on feet the majority of the work day, able to support the body for long periods without getting tired
 Ability to use hands for complex tasks, control and feel the dough, bread, and other objects.
Must be able to lift, push, pull and carry heavy objects (up to 50 Lbs).
Make fast, simple repeated movements of fingers, hands and wrists. React quickly using hands, fingers and feet.
More detail about La Cabra Bakery, please visit https://culinaryagents.com/entities/334843-la-cabra-bakery",Job Type,Dishwasher,,$15 - $17 an hour,,,0:00:04.097549,https://www.indeed.com/viewjob?jk=e29efc9a8b6fbbe6
,jk=cb6b4f9815b1741a,1 day ago,"Celsius addresses the financial needs of today’s consumers worldwide through a democratized interest income and lending platform accessible via a mobile app. With a mission to put unparalleled economic freedom in the hands of the people, and a core belief that financial services should only do what is in the best interests of the community, Celsius is a modern platform where membership provides access to curated financial services that are not available through traditional financial institutions. Crypto holders can earn high-yield compounding interest by transferring coins to their Celsius Wallet and can borrow fiat currency against their crypto collateral at the lowest interest rates in the space.
The Celsius team is committed to doing good and doing well. We believe in the power of disruption and the importance of decentralization to create a new system that acts in the best interest of everyone. Each member of our team brings something unique and innovative to the table, but the common thread that links us together is our passion for blockchain, equality, and leading the next financial revolution that changes the equation to bring power back to the people.
Every department in our organization is growing tremendously and we need more experienced people.
We have openings in all our departments within the company so that we can continue our great work and advance. We're considering anyone that can contribute to our mission and who shares similar values of our company.
If you're interested please apply via posting and someone on our team will reach out to you if your background matches what we need. We're keeping everyone that applies in our pipeline for future openings as we grow the team.
Celsius is currently operating fully remotely while navigating COVID-19 guidelines, however, Celsius has offices in Hoboken, New York City, London and Tel Aviv and employs remote employees based in cities all around the world.",Full-time,Celsius Opportunities*,,,,,0:00:04.126547,https://www.indeed.com/viewjob?jk=cb6b4f9815b1741a
Wegmans Food Markets,jk=2a02e46508e768a6,Today,"At Wegmans, our commitment to customers is simple: Every Day You Get Our Best. Customers tell us they choose Wegmans for the helpful people in our stores and the freshest ingredients possible. As a Perishable Department team member, you will educate customers on great-tasting, healthy meals and offer help on how to prepare them. You can work in any of the following departments: Produce, Deli, Seafood, Meat, Cheese, Bakery and more! If you love working in a fast-paced and dynamic environment, have a passion for food, enjoy being part of an energetic team and would love the opportunity to make a difference in a customer’s shopping experience, Wegmans is the place for you!
What will I do?
Provide incredible customer service and address the needs of customers in a timely &amp; effective manner
Ensure a fresh and appealing display by keeping cases and shelves clean and well-stocked
Help to maximize sales potential through effective and proper procedures for perishable products by storing, rotating, stocking and merchandising
At Wegmans, we believe that if we take care of our people, they’ll take care of our customers. That’s why, as part of the Wegmans family, you’ll have a package of benefits that covers your health, well-being, family and future.
Flexibility in scheduling—work-life balance
Employee discounts
Premium pay on Sundays and holidays
Comprehensive benefits*
Quality affordable healthcare coverage
Vision coverage
Dental coverage (Available to Full-time only)
Pre-tax spending accounts
Life insurance
Paid time off
Employee assistance program
Employee wellness programs
401(k) retirement savings plan
Wegmans retirement profit sharing plan
Scholarship Program
Certain eligibility requirements must be satisfied
For 24 years in a row, our employees have put us on the FORTUNE magazine’s list of the 100 Best Companies to Work For®. Discover what it means to work for a family owned, mission-driven, values-based company that believes in caring, respect, empowerment, high standards and making a difference in the community. Because with a family-like atmosphere of shared support, leaders who have your best interest at heart and growth as part of everything we do, Wegmans is the place for you to do what you love—and love what you do.",Part-time,Team Member,",NY,11205",,",NY,11205",11205,0:00:04.267582,https://www.indeed.com/viewjob?jk=2a02e46508e768a6
,jk=77f48b95a1b01b46,Today,"Qualifications

Working with people; enjoys being part of a team and works well with others
Problem-solving; approaches difficulties with innovative insight and ability to apply technical expertise to work
Result-driven to and focused on meeting customer expectations and fulfilling quality standards
Punctuality; ability to keep to schedules, follow instructions, legal obligations and safety requirements
Fork lift certification or the ability to obtain such certification

Responsibilities

The Warehouse Operator is responsible for the optimal operation of the Warehouse
The Warehouse Operator carries out work in all the logistical processes within the warehouse, such as the handling of incoming goods
Receives goods, checks delivery notes and other accompanying documents for goods
Making an active contribution to the optimal physical flow of goods, whereby quality, reliability, speed, and efficiency are the most important considerations
Taking part in stock audits
Picking goods in the warehouses and bringing the necessary goods to the right production department on time and according to planning
Carrying out first-line quality control and registration (for quantities and visual inspection)
Carrying out packing and unpacking work
Issuing items missing from pick orders based on missing item pick lists

Abilities:

Working with people; enjoys being part of a team and works well with others
 Problem-solving; approaches difficulties with innovative insight and ability to apply technical expertise to work
 Result-driven to and focused on meeting customer expectations and fulfilling quality standards
Punctuality; ability to keep to schedules, follow instructions, legal obligations and safety requirements
 At least 1 year’s relevant work experience in a warehouse environment is a plus

Benefits:

Dental insurance
Employee discount
Flexible schedule
Health insurance
Life insurance
Paid time off
Retirement plan
Tuition reimbursement
Vision insurance",Full-time,Warehouse Assistant,,,,,0:00:04.568983,https://www.indeed.com/viewjob?jk=77f48b95a1b01b46
