"company","jk","posting_date","job_description","job_type","job_title","job_location","salary","state","zip_code","scrape_time","url"
,"jk=83003ce9bc834c8f","If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.","We’re hiring allied health care professionals to provide COVID-19 testing to the community. Applicants should have great customer service skills and work well in a team environment yet be able to work independently. Must be collaborative, reliable and have good integrity. To be a successful team member, you must be detailed oriented, as quality and accuracy are our highest priority. All staff will receive top of the line PPE Equipment, including Mask’s, face shield, gown, and gloves. Your safety is our top priority we follow all safety protocols specified by the CDC.$18 / hour plus weekly bonus potential!Job Types: Full-time, Part-time, ContractPay: $18.00 per hourBenefits:401(k)Dental insuranceHealth insuranceVision insuranceSchedule:8 hour shiftMonday to FridayWeekend availabilitySupplemental Pay:Bonus payEducation:High school or equivalent (Required)Willingness to travel:75% (Preferred)Work Location: Multiple Locations","Job Type","COVID-19 Tester",,"$18 an hour",,,"0:00:03.581926","https://www.indeed.com/viewjob?jk=83003ce9bc834c8f"
,"jk=a59498e9d0507236","If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.","SEEKING: A *Rockstar* - Wearer of many hats - Entrepreneurial focused with a deep gift of Service. Lover of dogs, impacting lives, and creating a cherished life in service of a missionWe are a married couple that owns an online personal development business and we have grown massively in the last few years and need some additional support in our life &amp; home. We are looking for an exceptional human to help us out!Are you ready to step into a fast paced, outcome and solution focused environment?Our business is booming — and we will expect you to step into a hybrid role. You may find yourself faced with unique challenges, that many people will not have the opportunity to create solutions for. We are investors — not only in business, but in life, in opportunities, and in the people around us.Let’s be honest… a lot of people who hire personal assistants SUCK. Whether hiring a PA, a house manager, a nanny, or any other “help oriented” role, those offering these jobs provide a steady stream of nightmares; gigantic egos with mismatched expectations, leaving employees scrambling to find somewhere else to work.We are looking for something different. We are looking for a partner in our life, who plays a meaningful role in our experience, our family, a valued confidant, a meticulous operational executive, whose attention to detail and execution is only bested by their energy, values, and soul.If you have seen Ironman, we are looking for our “Pepper”. If you have seen Batman Begins, we are looking for our Alfred (*or Allison).These individuals are characterized not by their ability to “do the tasks”, but rather by their leadership, reliability, and the connection to the individuals they serve and partner with.We are ready to invest in expanding our family — and we look forward to finding a member of our family through this process.—————————————————————————————————————-Are you into Personal Development? We need someone who’s internal drive to grow and contribute is perpetual . We teach mindset mastery and success strategy, and the common denominator of all successful individuals is an elevated, developed mindset and perspective. No, we are not religious — Yes, we are fiercely spiritual. We are obsessed with evolving, and you MUST be as well.Have you heard of Tony Robbins? Well, around our home we ARE BIG into stepping into an elevated version of self. If you love gossip and drama, this is NOT your place. If you thrive off of negativity — NEXT! If you have had past negative experiences with employers, we sympathize. However, we expect you to leave it at the door. We are not your average people, family or business.This opportunity requires a risk on your part — it requires coming forward with an open heart and mind. It will undoubtably be one of the most fulfilling journeys you could embark — should you choose to accept this mission.We need someone super smart, sharp, passionate and talented with a great attitude and a tremendous spirit of resourcefulness . We want someone who when they encounter an obstacle, wants to find a way around, through, over it, under it, etc. Someone who is detail oriented, has a very high standard of excellence and wants to make the world a better place, enriching the lives of others along the way.What is the last investment you’ve made in yourself and your life? Not interested in that… this will not be the place for you.If you have dreams and fears — and are willing to take on challenges with an aura of confidence, grit, determination, integrity and trust… we want you to apply!We expect someone who’s humble, teachable, and determined. Someone who doesn’t just like growing — they demand it.Do you get a sense of pride from organizing and giving everything a place? Are you a person that speaks the acts of service love language? Can you make a delicious, healthy meal, do you enjoy running errands, checking things off your to-do list, making a home have that cozy, sanctuary vibe? Do you love being thoughtful and adding little personal touches to the work you do? Do you feel as lit up doing laundry as you do negotiating with contractors? We need an executing master with a strong domesticated, nurturing side.Do you LOVE dogs? You want to pet, cuddle, play with, and walk them because your pet whispering is only second to your ability to anticipate the needs of humans?Character traits (These are Musts): Get it Done AttitudeDetail OrientedHigh IntegritySelf-DisciplinedFind Gratitude in Challenge and OpportunityCommitted &amp; DeterminedConsistently Positive Attitude &amp; Solution OrientedExcellent Team PlayerContinual LearnerLoving and AcceptingHumilityMust not: Be satisfied with “good enough.”Time puncher. This is more than a job/business to us. We want to change the world and make it a better place. We are making a difference in the world and you will be the magnifier of that voice. If you don’t care enough, your creative potential will be diminished and we will receive far from the best from you.Need safe, predictable, routine.No Bullshit- We don’t want to hear the story of why things didn’t or can’t get done. Let’s find a way to make it happen.We are looking for a kick-ass, ten steps ahead of you, personal assistant that will help streamline our lives so we can focus on the things that light us up most!Job Requirements: Excellent communication skillsAttention to detailExperience as a personal assistant and/or house manager (2+ years)MUST LOVE DOGS &amp; KIDSTech-savvyA vehicle and driver’s licenseFamiliar with the greater Los Angeles areaInterested in Long Term growth/employment opportunities (no commitment - but an interest to grow in this arena)Willing to consider relocating if need beIf this position resonates with you and you are interested in applying, please submit your resume.Job Perks: Full benefits — Gold Plan Blue Cross Blue Shield PPO, Full Dental, Full Vision — 50% of dependents - after 90 days401k Eligibility after 1 yearVehicle Costs covered (gas + usage + etc)Job Type: 90 day evaluation period — 90 day intro $40/hr with a guaranteed minimum number of 30hr/wk. Following 90 days, will move to a full time position with full benefits and a negotiated salary.Job Type: Full-timePay: From $40.00 per hourBenefits:401(k)Dental insuranceFlexible scheduleHealth insurancePaid time offProfessional development assistanceVision insuranceSchedule:8 hour shiftMonday to FridayOn callWeekend availabilityAbility to commute/relocate:Los Angeles, CA: Reliably commute or planning to relocate before starting work (Required)Experience:Personal assistant: 2 years (Required)Work Location: Multiple Locations","Job Type","Personal Assistant/House Manager",,"From $40 an hour",,,"0:00:03.888849","https://www.indeed.com/viewjob?jk=a59498e9d0507236"
,"jk=06a809823d2d60f9","12 days ago","We are looking for LIVE Hosts for a new show we are getting ready to produce.?

Are you a professional? Do you have a natural personality that shines well on-air? We are looking for a host who will be comfortable being on camera and talking to our guest speakers about luxury living.

?Our main business is thevalormedia and we manage people like Wolf of wall street and Ed Mylett. These would be the kinds of guests we will have appear on set with you as the ""host"" of the show.?

Host Responsibilities:?

We will film in a studio early January- this will be an ongoing series. We will have more details as far as frequency requirements after we accomplish the first round.?
This person will be the face and voice of the show and must have passion for money/luxury lifestyle.?
Goal- Execution of TV interviews with show guests, such as artists, high end clients, and expand on their lives, their work, and the making, managing and spending of money.
?Report live on location as necessary, - looking for professionals in LA
?Display an approachable but very professional easy to get along with personality.?
We are excited to be producing the next big thing... apply if you want to be a part of it!","Job Type","Live Tv host",,"$50 - $75 an hour",,,"0:00:03.923806","https://www.indeed.com/viewjob?jk=06a809823d2d60f9"
"Activision","jk=2d9fafad2301e384","16 days ago","Job Title:
Requisition ID:
Job Description:",,"Associate Researcher",,,,,"0:00:03.944813","https://www.indeed.com/viewjob?jk=2d9fafad2301e384"
"Netflix","jk=f8d2acbe2f7bc25f","30+ days ago","Los Angeles, California
Design
Netflix is constantly innovating on how to best provide people around the world with stories they will love: movies and TV shows that are diverse across cultures, creators, genres, and formats. This is an exhilarating challenge as we seek to bring joy to over 200 million households across 190 countries. In this opportunity, you will support executives who are part of Netflix’s Experience Design Team.
A bit about our team
Netflix XD is an inclusive blend of design disciplines, focused on the company mission of entertaining the world. Our team is responsible for the global Netflix experience, including; the platforms that members stream on, how we acquire, retain and measure customers’ health, and how we develop, produce, market, brand and promote content and the Netflix experience.
The ideal candidate will demonstrate the ability to multitask, while working in a fast-paced, change-oriented environment. You will be self-motivated, proactive, maintain a strong emphasis on organization and an unwavering attention to detail. This is a demanding role that needs someone with good judgment, great communication, and the ability to implement effective systems. You will have the opportunity to have meaningful impact, grow your skills, and have fun in this challenging and exciting role!
Responsibilities
Provide a wide variety of support functions to executives including but not limited to:
Event planning (e.g. offsites, workshops, conferences, internal team events, etc.)
Travel arrangements (domestic and international)
Expenses
Heavy calendar coordination
Organization and prioritization to be able to handle and process multiple, sometimes competing, requests.
Strong cross functional partnership and communications, within Talent, across Product leaders and among EAs supporting those groups.
Follow up/follow through and execution.
Curiosity about the business context to be able to point out team misalignments or question prioritization
Set/create limits for the team and push back when requests are unrealistic.
Strong voice on the team (and participation).
Proactivity to spot trends and help to bring attention to needs.
Ability to be discrete and handle sensitive information.
Netflix Culture
Netflix's culture is an integral part of what makes us successful, and we approach diversity and inclusion seriously and thoughtfully. We are an equal opportunity employer and celebrate diversity, recognizing that bringing together different perspectives and backgrounds helps build stronger teams. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
APPLY NOW
Share this listing:
LINK COPIED",,"Administrative Assistant, XD",,,,,"0:00:03.961781","https://www.indeed.com/viewjob?jk=f8d2acbe2f7bc25f"
"Industrial Light & Magic","jk=27b65d2041ad61ff","26 days ago","Description
Position at Industrial Light &amp; Magic
Position Summary
This entry level position provides administrative and backup support to the production team while providing an opportunity to learn about the production environment and process at ILM. They can be temporary positions but may evolve into longer term roles.
What You'll Do
Support the Virtual Production team in day to day activities, assist in production errands and tasks, and be the go-to for general needs to the entire crew
Technical Assistance: Will need some technical ability and knowledge required to run Linux, Windows, and Mac-based programs for reviews with crew (dailies), clients, external vendors, and various meetings
Conference room setup and troubleshooting, Viewstation setup and troubleshooting, basic technical troubleshooting (running generic scripts to resolve issues)
Manage cc lists for reviews, shot notifications, tools updates, etc.
Meeting Setup: PA will be responsible for notifying crew of all meeting/review times and locations (and making sure they attend), prepping the review playlists, and possibly taking notes; act as assistant to the Production Coordinators/Managers to help follow up on items after various meetings
Internal Tracking Database: Will assist Production Coordinators in making sure internal tracking tools are up to date
Schedule and Shot Tracking: Assist the Production Coordinators and Managers in making sure the physical schedule boards are up to date and all VFX elements are accounted for (matching the Internal Tracking Database)
Show Schedule: Responsible for overall show calendar in keeping everyone on the same page of what’s happening on a daily basis (dailies, meetings, client reviews, etc)
Contact Information: Maintain internal crew and client contact information, all internal email aliases for the show, and show webpage
Responsible for the ordering, delivery, and clean up of meals as needed (lunch, dinner, weekend), for a crew of 50-150. Conceive, order, and set up of thematic crew parties, as needed
Shipping and receiving (digital): Responsible for delivering and receiving all files shared between clients, external vendors, and internal crew at various locations. Keep a meticulous account of all files transferred
Shipping and receiving (practical): Prep, ship, receive, and keep a detailed account of all models, props, and media drives shared between various contacts
Office maintenance: Organize the production office, order office supplies, keep the printer supplied with paper, etc.
Organize and maintain the digital reference repository (digital artwork, movies, etc); also print physical copies of any reference when needed
Required to book travel and accommodations for show leadership
Responsible for handling all show expense reports
Responsible for show petty cash, and accounting for spending
What We're Looking For
Bachelor’s degree in film production or equivalent preferred
Minimum two years of related experience preferred, but not required
Computer literacy; word processing and spreadsheet experience helpful
Proficiency in Macs/PCs including Microsoft Word and Excel. Familiarity with Google Suite
This position is on a guaranteed 40 hour work week, with daily overtime and some Saturday work required
Ability to work on a computer/keyboard for long periods of time
Ability to work overtime on an ongoing basis
Ability to travel as needed
Must have the ability to juggle multiple projects, work with diverse personalities and work within strict deadlines
Attention to detail, follow through and strong communication skills
75% of work is on the computer
This position is with Lucasfilm Entertainment Company Ltd. LLC, which is part of a business segment we call Industrial Light &amp; Magic. Lucasfilm Entertainment Company Ltd. LLC is an equal opportunity employer. Applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veteran status or any other basis prohibited by federal, state or local law. Lucasfilm fosters a business culture where ideas and decisions from all people help us grow, innovate, create the best stories and be relevant in a rapidly changing world. **FOR U.S. BASED NEW HIRES ONLY:** We are taking a responsible approach to creating environments that allow us to do what we do best - entertain and inform millions around the world. As part of our commitment to health and safety, COVID-19 vaccines are required for current U.S. salaried and non-union hourly employees, as well as all newly hired U.S. employees.
Lucas Lucas Lucas","Full-time","Production Assistant (StageCraft) Los Angeles, CA",,,,,"0:00:04.098273","https://www.indeed.com/viewjob?jk=27b65d2041ad61ff"
"Netflix","jk=7da10f514b178ef5","30+ days ago","Los Angeles, California
Night School Studio
About Our Team
We’re a group of developers, artists, and storytellers that make games full of wonder, danger, and humor. Everyone at our studio, whether an industry vet or new voice impacts each game through collaborative feedback, mutual respect, and creative empowerment. If you want to make games that leave a meaningful impact on players: we want to hear from you.
We’re looking for new teammates who deeply care about the work they do, the stories they tell, and the people they create with. As part of the Netflix team, we strive to hire the best and value integrity, excellence, respect, inclusion, and collaboration.

Learn how our story-loving game people came to join Netflix’s team of game-loving story people.
Writing at Night School Studio
Every game made by Night School is built on a foundation of solid game design, an excellent, heartfelt story and naturalistic, free-flowing dialogue. The Writing Department is tasked with outlining satisfying narratives (in collaboration with Narrative Design) as well as scripting all the dialogue and directing the story’s beats with level designers. Creating and empowering player choice, inserting emotionally-driven character moments, inventing personalities that feel uniquely real, and directing actors in voice over sessions all fall within the scope of Writing’s duties. Night School’s writers consider it an immense responsibility and great privilege to be on the forefront of what’s possible in video game storytelling.
About the Job
Branching dialogue and player-driven stories offer unique artistic challenges to even seasoned writers. To be a writer at Night School, you should truly enjoy creating play spaces for players who want to push the boundaries of what our stories will allow. We’re looking for people who love to write. For people who are excited by what interactive storytelling can offer, both to themselves as creative artists and to an audience wanting to be moved by what they are experiencing on screen.
As a Writer at Night School Studio you will...
Write interactive scripts under the guidance of our Creative Directors
Collaborate with the entire team to ensure a compelling and immersive narrative
Contribute in writer's rooms for pre-existing and new ips
Respond to internal/external feedback throughout the development process
Generate outlines, treatments, and other support materials as needed
Ideally, you are…
Experienced in shipping narrative driven content
Passionate about stories across all mediums and familiar with the game development process
Excellent at communicating narrative principles
Great at listening
Quick on your feet
We’d also love to see a polished sample of your work, which could be a sample from a screenplay, teleplay, play, or interactive game script. Please upload it as a single document with your resume below.

BUT, PLEASE ONLY SUBMIT A WRITING SAMPLE IF YOU AGREE TO THE FOLLOWING: You understand and acknowledge that Night School Studio may already have or may in the future receive or develop materials independent of your writing sample (the ""Sample"") which may be similar or identical to elements in the Sample. You agree that Night School Studio has the unrestricted right to use these materials without any obligation to you and that you will have no right or recourse against Night School Studio for use of these materials.
APPLY NOW
Share this listing:
LINK COPIED",,"Writer, Games Studio",,,,,"0:00:04.127243","https://www.indeed.com/viewjob?jk=7da10f514b178ef5"
"TSA (Transportation Security Administration)","jk=4ed82aed57e47716","4 days ago","Securing Travel, Protecting People - At the Transportation Security Administration, you will serve in a high-stakes environment to safeguard the American way of life. In cities across the country, you would secure airports, seaports, railroads, highways, and/or public transit systems, thus protecting America's transportation infrastructure and ensuring freedom of movement for people and commerce. For additional information about our agency please: Click Here
Requirements
Conditions of Employment
You must possess U.S. Citizenship or be a U.S. National.
You must complete a favorable Background Investigation (BI).
Must pass pre-employment drug screening AND random drug/alcohol testing.
You must hold a valid driver's license.
Selective Service registration is required.
See ""Conditions of Employment"" and ""Other Information"" sections.","Job Type","Transportation Security Inspector",,"$57,782 - $89,525 a year",,,"0:00:04.237195","https://www.indeed.com/viewjob?jk=4ed82aed57e47716"
"International Rescue Committee","jk=4830fe4f39854418","27 days ago","Requisition ID: req22832
Job Title: Immigration Assistant
Sector: Immigration &amp; Citizenship
Employment Category: Fixed Term
Employment Type: Full-Time
Open to Expatriates: No
Location: Los Angeles, CA USA
Job Description
The position supports legal practitioners (attorneys and/or Department of Justice (DOJ) accredited representatives) in representing clients before United States Citizenship and Immigration Services (USCIS) and conducting community-based orientations and workshops. IRC is a lead agency responding to the Afghan evacuation and will be serving thousands of Afghan parolees this year. This position will focus on supporting legal services for Afghan parolees, which will include a range of services such as orientations and individual screenings, family-based immigrant petitions and adjustments of status, Special Immigrant self-petition-based adjustments of status, and affirmative asylum, as well as other avenues for seeking permanent status that may become available. It is encouraged that staff hired in this role will work towards DOJ accreditation with support from IRC’s Immigration Technical Unit based at IRC Headquarters.

Qualifications
Bachelor’s degree in relevant field.
Demonstrated success working and communicating effectively in a multi-cultural environment and with Limited English Proficient populations.
Able to work effectively in a team environment, as well as take independent initiative
Excellent attention to detail and strong organizational skills
Proficient in Microsoft Office applications (Word, Excel, Outlook) and comfortable utilizing online software and programs.

Excellent communication skills with proficiency in written and spoken English is required.

Proficiency or fluency in Dari, Pashto, and/or Farsi strongly preferred.
Demonstrated dedication to immigrant rights, social justice, and/or human rights based on work experience, volunteer service, or educational activities.
Previous experience with immigration legal or social services is strongly preferred.
Familiarity with immigration software and experience with data entry and management are a plus.
Community-based outreach and/or work promoting immigrant rights experience is preferred.","Full-time","Immigration Assistant",,,,,"0:00:04.267179","https://www.indeed.com/viewjob?jk=4830fe4f39854418"
,"jk=133e48558f649f20","If you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process.","Earn $19.00 – $20.40 per hour +Monthly Bonus Incentives (average of $2,000 annually)$2,000 sign on BONUS with approved insurance license!Full Time – 40 hours a weekAs a Call Center Representative for our Policy Management Group you are bringing your expertise to our premier fast-paced call center located at 2601 S. Figueroa St., Los Angeles.Qualified candidates will bring their passion for helping others to our best-in-class organization that is delivering legendary service to our members. In this role, you will be assisting our members with their membership and insurance policies. To prepare you for success, we provide up to 4 months of paid training.You’ll need:1+ years of customer service experience (call center, sales, and insurance licensing experience are a plus).Confidence in promoting Automobile Club products and services in a goal-oriented environment.A High School Diploma or GED required.Successful completion of pre-employment assessments, background and drug screening.Diversity, Inclusion, and Belonging is rooted in our core values. The strength of our organization is our employees. Bringing together and supporting different culture, backgrounds, personalities, and strengths creates a team capable of delivering legendary, lifetime service to our members. We are committed to creating a workplace where all employees, regardless of background, or characteristics, are engaged, feel they belong, and can grow and develop long careers with our organization.Remarkable benefits: Health coverage for medical, dental, vision401(K) saving plan with company match AND PensionTuition assistancePTO for community volunteer programsWellness programEmployee discountsThe Automobile Club of Southern California is part of the largest federation of AAA clubs in the nation. We have 14,000 employees in 21 states helping 17 million members. With our national brand recognition, long-standing reputation since 1902, and constantly growing membership, we are seeking career-minded, service-driven professionals to join our team.“Through dedicated employees we proudly deliver legendary service and beneficial products that provide members peace of mind and value.”AAA is an Equal Opportunity EmployerThe Automobile Club of Southern California will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable federal, state and local laws, including the City of Los Angeles’ Fair Chance Initiative for Hiring Ordinance.Job Type: Full-timePay: $19.00 - $20.40 per hourBenefits:401(k)401(k) matchingDental insuranceEmployee discountHealth insuranceSchedule:8 hour shiftSupplemental Pay:Bonus payEducation:High school or equivalent (Required)Experience:Customer service/Call Center: 1 year (Preferred)Work Location: One location","Job Type","Call Center Representative",",CA,90007","$19.00 - $20.40 an hour",",CA,90007",90007,"0:00:04.529117","https://www.indeed.com/viewjob?jk=133e48558f649f20"
